codigo,nombre,representante,contacto,departamento_nombre,municipio_nombre
PROV_GT04_0056,Transportes Zaragoza - Ref 57,Elena Batz,+502 41407152,Chimaltenango,Zaragoza
PROV_GT04_0057,Autobuses El Tejar - Ref 58,María Chaj,+502 58378879,Chimaltenango,El Tejar
PROV_GT05_0058,Lancheros Unidos Escuintla - Ref 59,José López,+502 45822409,Escuintla,Escuintla
PROV_GT05_0059,Fleteros del Altiplano Santa Lucía Cotzumalguapa - Ref 60,Tomasa Gómez,+502 53103415,Escuintla,Santa Lucía Cotzumalguapa
PROV_GT05_0060,Cooperativa de Transportistas La Democracia - Ref 61,Esteban López,+502 54477509,Escuintla,La Democracia
PROV_GT05_0061,Rápidos de Occidente Siquinalá - Ref 62,Elena Méndez,+502 57859064,Escuintla,Siquinalá
PROV_GT05_0062,Shuttles Masagua - Ref 63,Pedro Tzoc,+502 41092413,Escuintla,Masagua
PROV_GT05_0063,Taxis del Centro Tiquisate - Ref 64,Elena Jax,+502 50113301,Escuintla,Tiquisate
PROV_GT05_0064,Transportes La Gomera - Ref 65,Francisco Tzoc,+502 45037063,Escuintla,La Gomera
PROV_GT05_0065,Autobuses Guanagazapa - Ref 66,Tomasa Hernández,+502 57088239,Escuintla,Guanagazapa
PROV_GT05_0066,Lancheros Unidos San José - Ref 67,Juan Marroquín,+502 52101666,Escuintla,San José
PROV_GT05_0067,Fleteros del Altiplano Iztapa - Ref 68,María Batz,+502 42018363,Escuintla,Iztapa
PROV_GT05_0068,Cooperativa de Transportistas Palín - Ref 69,María López,+502 58193104,Escuintla,Palín
PROV_GT05_0069,Rápidos de Occidente San Vicente Pacaya - Ref 70,María Tzoc,+502 46701816,Escuintla,San Vicente Pacaya
PROV_GT05_0070,Shuttles Nueva Concepción - Ref 71,Manuel López,+502 49009452,Escuintla,Nueva Concepción
PROV_GT05_0071,Taxis del Centro Sipacate - Ref 72,Manuel Gómez,+502 55922847,Escuintla,Sipacate
PROV_GT06_0072,Transportes Cuilapa - Ref 73,Esteban Hernández,+502 52212690,Santa Rosa,Cuilapa
PROV_GT06_0073,Autobuses Barberena - Ref 74,Diego Tzul,+502 46675413,Santa Rosa,Barberena
PROV_GT06_0074,Lancheros Unidos Santa Rosa de Lima - Ref 75,José Batz,+502 42239214,Santa Rosa,Santa Rosa de Lima
PROV_GT06_0075,Fleteros del Altiplano Casillas - Ref 76,Esteban Yax,+502 56451617,Santa Rosa,Casillas
PROV_GT06_0076,Cooperativa de Transportistas San Rafael Las Flores - Ref 77,Francisco Batz,+502 56097284,Santa Rosa,San Rafael Las Flores
PROV_GT06_0077,Rápidos de Occidente Oratorio - Ref 78,María Yax,+502 58929061,Santa Rosa,Oratorio
PROV_GT06_0078,Shuttles San Juan Tecuaco - Ref 79,Esteban Méndez,+502 45705166,Santa Rosa,San Juan Tecuaco
PROV_GT06_0079,Taxis del Centro Chiquimulilla - Ref 80,Miguel Hernández,+502 40008435,Santa Rosa,Chiquimulilla
PROV_GT06_0080,Transportes Taxisco - Ref 81,Juan Tzul,+502 41822753,Santa Rosa,Taxisco
PROV_GT06_0081,Autobuses Santa María Ixhuatán - Ref 82,Juana Guzmán,+502 58081832,Santa Rosa,Santa María Ixhuatán
PROV_GT06_0082,Lancheros Unidos Guazacapán - Ref 83,Juana Pérez,+502 57652228,Santa Rosa,Guazacapán
PROV_GT06_0083,Fleteros del Altiplano Santa Cruz Naranjo - Ref 84,Luisa Gómez,+502 57237869,Santa Rosa,Santa Cruz Naranjo
PROV_GT06_0084,Cooperativa de Transportistas Pueblo Nuevo Viñas - Ref 85,Pedro Méndez,+502 47274220,Santa Rosa,Pueblo Nuevo Viñas
PROV_GT06_0085,Rápidos de Occidente Nueva Santa Rosa - Ref 86,Juan Cabrera,+502 52477354,Santa Rosa,Nueva Santa Rosa
PROV_GT07_0086,Shuttles Lago De Atitlan - Ref 87,Manuel Gómez,+502 55955102,Sololá,Lago De Atitlan
PROV_GT07_0087,Taxis del Centro Sololá - Ref 88,Manuel López,+502 42058515,Sololá,Sololá
PROV_GT07_0088,Transportes San José Chacayá - Ref 89,Esteban Chaj,+502 49259802,Sololá,San José Chacayá
PROV_GT07_0089,Autobuses Santa María Visitación - Ref 90,Miguel Tzoc,+502 51949871,Sololá,Santa María Visitación
PROV_GT07_0090,Lancheros Unidos Santa Lucía Utatlán - Ref 91,María Batz,+502 42613994,Sololá,Santa Lucía Utatlán
PROV_GT07_0091,Fleteros del Altiplano Nahualá - Ref 92,Juan Gómez,+502 43878937,Sololá,Nahualá
PROV_GT07_0092,Cooperativa de Transportistas Santa Catarina Ixtahuacán - Ref 93,Esteban Tzul,+502 57406079,Sololá,Santa Catarina Ixtahuacán
PROV_GT07_0093,Rápidos de Occidente Santa Clara La Laguna - Ref 94,Juan Chaj,+502 55893617,Sololá,Santa Clara La Laguna
PROV_GT07_0094,Shuttles Concepción - Ref 95,Juan Méndez,+502 43817268,Sololá,Concepción
PROV_GT07_0095,Taxis del Centro San Andrés Semetabaj - Ref 96,María Méndez,+502 52318702,Sololá,San Andrés Semetabaj
PROV_GT07_0096,Transportes Panajachel - Ref 97,Manuel Cabrera,+502 48005337,Sololá,Panajachel
PROV_GT07_0097,Autobuses Santa Catarina Palopó - Ref 98,Diego Chaj,+502 55018262,Sololá,Santa Catarina Palopó
PROV_GT07_0098,Lancheros Unidos San Antonio Palopó - Ref 99,Esteban Cox,+502 57726685,Sololá,San Antonio Palopó
PROV_GT07_0099,Fleteros del Altiplano San Lucas Tolimán - Ref 100,Juana Méndez,+502 53271901,Sololá,San Lucas Tolimán
PROV_GT07_0100,Cooperativa de Transportistas Santa Cruz La Laguna - Ref 101,Diego Batz,+502 54028376,Sololá,Santa Cruz La Laguna
PROV_GT07_0101,Rápidos de Occidente San Pablo La Laguna - Ref 102,Elena Marroquín,+502 57202636,Sololá,San Pablo La Laguna
PROV_GT07_0102,Shuttles San Marcos La Laguna - Ref 103,Esteban Yax,+502 46387321,Sololá,San Marcos La Laguna
PROV_GT07_0103,Taxis del Centro San Juan La Laguna - Ref 104,Juana Cabrera,+502 43076234,Sololá,San Juan La Laguna
PROV_GT07_0104,Transportes San Pedro La Laguna - Ref 105,María Pérez,+502 44495841,Sololá,San Pedro La Laguna
PROV_GT07_0105,Autobuses Santiago Atitlán - Ref 106,Elena Tzoc,+502 56072614,Sololá,Santiago Atitlán
PROV_GT08_0106,Lancheros Unidos Totonicapán - Ref 107,Elena Cox,+502 44861727,Totonicapán,Totonicapán
PROV_GT08_0107,Fleteros del Altiplano San Cristóbal Totonicapán - Ref 108,Manuel Pérez,+502 59786402,Totonicapán,San Cristóbal Totonicapán
PROV_GT08_0108,Cooperativa de Transportistas San Francisco El Alto - Ref 109,Rosa Cox,+502 49853360,Totonicapán,San Francisco El Alto
PROV_GT08_0109,Rápidos de Occidente San Andrés Xecul - Ref 110,Carlos Gómez,+502 49908142,Totonicapán,San Andrés Xecul
PROV_GT08_0110,Shuttles Momostenango - Ref 111,Miguel Méndez,+502 47341369,Totonicapán,Momostenango
PROV_GT08_0111,Taxis del Centro Santa María Chiquimula - Ref 112,Manuel Batz,+502 44545155,Totonicapán,Santa María Chiquimula
PROV_GT08_0112,Transportes Santa Lucía La Reforma - Ref 113,Miguel Hernández,+502 49072506,Totonicapán,Santa Lucía La Reforma
PROV_GT08_0113,Autobuses San Bartolo - Ref 114,Pedro López,+502 54878188,Totonicapán,San Bartolo
PROV_GT09_0114,Lancheros Unidos Quetzaltenango - Ref 115,Pedro Méndez,+502 59857941,Quetzaltenango,Quetzaltenango
PROV_GT09_0115,Fleteros del Altiplano Salcajá - Ref 116,Rosa López,+502 40479849,Quetzaltenango,Salcajá
PROV_GT09_0116,Cooperativa de Transportistas Olintepeque - Ref 117,Carlos Gómez,+502 58335739,Quetzaltenango,Olintepeque
PROV_GT09_0117,Rápidos de Occidente San Carlos Sija - Ref 118,Elena Marroquín,+502 51033939,Quetzaltenango,San Carlos Sija
PROV_GT09_0118,Shuttles Sibilia - Ref 119,José López,+502 49914441,Quetzaltenango,Sibilia
PROV_GT09_0119,Taxis del Centro Cabricán - Ref 120,Rosa Tzoc,+502 53138626,Quetzaltenango,Cabricán
PROV_GT09_0120,Transportes Cajolá - Ref 121,Juana Pérez,+502 56996581,Quetzaltenango,Cajolá
PROV_GT09_0121,Autobuses San Miguel Sigüila - Ref 122,Carlos Cabrera,+502 55043790,Quetzaltenango,San Miguel Sigüila
PROV_GT09_0122,Lancheros Unidos Ostuncalco - Ref 123,José Chaj,+502 55111687,Quetzaltenango,Ostuncalco
PROV_GT09_0123,Fleteros del Altiplano San Mateo - Ref 124,Pedro Tzoc,+502 55569939,Quetzaltenango,San Mateo
PROV_GT09_0124,Cooperativa de Transportistas Concepción Chiquirichapa - Ref 125,María Jax,+502 44863263,Quetzaltenango,Concepción Chiquirichapa
PROV_GT09_0125,Rápidos de Occidente San Martín Sacatepéquez - Ref 126,Miguel Gómez,+502 41548542,Quetzaltenango,San Martín Sacatepéquez
PROV_GT09_0126,Shuttles Almolonga - Ref 127,Manuel Cabrera,+502 59015941,Quetzaltenango,Almolonga
PROV_GT09_0127,Taxis del Centro Cantel - Ref 128,Tomasa Cabrera,+502 49179928,Quetzaltenango,Cantel
PROV_GT09_0128,Transportes Huitán - Ref 129,José Tzoc,+502 49098508,Quetzaltenango,Huitán
PROV_GT09_0129,Autobuses Zunil - Ref 130,Esteban Méndez,+502 57129577,Quetzaltenango,Zunil
PROV_GT09_0130,Lancheros Unidos Colomba - Ref 131,Tomasa Tzul,+502 45846147,Quetzaltenango,Colomba
PROV_GT09_0131,Fleteros del Altiplano San Francisco La Unión - Ref 132,Miguel Tzul,+502 47755326,Quetzaltenango,San Francisco La Unión
PROV_GT09_0132,Cooperativa de Transportistas El Palmar - Ref 133,Luisa Gómez,+502 56543711,Quetzaltenango,El Palmar
PROV_GT09_0133,Rápidos de Occidente Coatepeque - Ref 134,Rosa Cox,+502 50059505,Quetzaltenango,Coatepeque
PROV_GT09_0134,Shuttles Génova - Ref 135,Tomasa Hernández,+502 53852643,Quetzaltenango,Génova
PROV_GT09_0135,Taxis del Centro Flores Costa Cuca - Ref 136,Pedro Méndez,+502 56334804,Quetzaltenango,Flores Costa Cuca
PROV_GT09_0136,Transportes La Esperanza - Ref 137,Pedro Marroquín,+502 40688432,Quetzaltenango,La Esperanza
PROV_GT09_0137,Autobuses Palestina de Los Altos - Ref 138,Elena Tzul,+502 52794677,Quetzaltenango,Palestina de Los Altos
PROV_GT10_0138,Lancheros Unidos Mazatenango - Ref 139,Manuel Cabrera,+502 43128259,Suchitepéquez,Mazatenango
PROV_GT10_0139,Fleteros del Altiplano Cuyotenango - Ref 140,Pedro Jax,+502 44083690,Suchitepéquez,Cuyotenango
PROV_GT10_0140,Cooperativa de Transportistas San Francisco Zapotitlán - Ref 141,José Pérez,+502 44651128,Suchitepéquez,San Francisco Zapotitlán
PROV_GT10_0141,Rápidos de Occidente San Bernardino - Ref 142,Rosa Cox,+502 49085475,Suchitepéquez,San Bernardino
PROV_GT10_0142,Shuttles San José El Ídolo - Ref 143,Miguel Chaj,+502 44055282,Suchitepéquez,San José El Ídolo
PROV_GT10_0143,Taxis del Centro Santo Domingo Suchitepéquez - Ref 144,Juana López,+502 48057235,Suchitepéquez,Santo Domingo Suchitepéquez
PROV_GT10_0144,Transportes San Lorenzo - Ref 145,Luisa Cox,+502 58297149,Suchitepéquez,San Lorenzo
PROV_GT10_0145,Autobuses Samayac - Ref 146,Tomasa Cabrera,+502 51015837,Suchitepéquez,Samayac
PROV_GT10_0146,Lancheros Unidos San Pablo Jocopilas - Ref 147,Elena Chaj,+502 41449549,Suchitepéquez,San Pablo Jocopilas
PROV_GT10_0147,Fleteros del Altiplano San Antonio Suchitepéquez - Ref 148,Juan Tzoc,+502 40629868,Suchitepéquez,San Antonio Suchitepéquez
PROV_GT10_0148,Cooperativa de Transportistas San Miguel Panán - Ref 149,Manuel Batz,+502 48984144,Suchitepéquez,San Miguel Panán
PROV_GT10_0149,Rápidos de Occidente San Gabriel - Ref 150,Rosa Yax,+502 58924811,Suchitepéquez,San Gabriel
PROV_GT10_0150,Shuttles Chicacao - Ref 151,Juan Guzmán,+502 41428556,Suchitepéquez,Chicacao
PROV_GT10_0151,Taxis del Centro Patulul - Ref 152,María Pérez,+502 46419913,Suchitepéquez,Patulul
PROV_GT10_0152,Transportes Santa Bárbara - Ref 153,María Guzmán,+502 45324661,Suchitepéquez,Santa Bárbara
PROV_GT10_0153,Autobuses San Juan Bautista - Ref 154,Elena Guzmán,+502 40302136,Suchitepéquez,San Juan Bautista
PROV_GT10_0154,Lancheros Unidos Santo Tomás La Unión - Ref 155,Juan Gómez,+502 41762838,Suchitepéquez,Santo Tomás La Unión
PROV_GT10_0155,Fleteros del Altiplano Zunilito - Ref 156,María Marroquín,+502 47365486,Suchitepéquez,Zunilito
PROV_GT10_0156,Cooperativa de Transportistas Pueblo Nuevo - Ref 157,Tomasa Pérez,+502 46407440,Suchitepéquez,Pueblo Nuevo
PROV_GT10_0157,Rápidos de Occidente Río Bravo - Ref 158,Esteban Yax,+502 40728661,Suchitepéquez,Río Bravo
PROV_GT10_0158,Shuttles San José La Máquina - Ref 159,Manuel Gómez,+502 40563272,Suchitepéquez,San José La Máquina
PROV_GT11_0159,Taxis del Centro Retalhuleu - Ref 160,Tomasa Méndez,+502 50598496,Retalhuleu,Retalhuleu
PROV_GT11_0160,Transportes San Sebastián - Ref 161,Tomasa Marroquín,+502 59529347,Retalhuleu,San Sebastián
PROV_GT11_0161,Autobuses Santa Cruz Muluá - Ref 162,Esteban Cox,+502 54557177,Retalhuleu,Santa Cruz Muluá
PROV_GT11_0162,Lancheros Unidos San Martín Zapotitlán - Ref 163,Rosa Marroquín,+502 46184584,Retalhuleu,San Martín Zapotitlán
PROV_GT11_0163,Fleteros del Altiplano San Felipe - Ref 164,Diego Batz,+502 53138418,Retalhuleu,San Felipe
PROV_GT11_0164,Cooperativa de Transportistas San Andrés Villa Seca - Ref 165,María Guzmán,+502 45351281,Retalhuleu,San Andrés Villa Seca
PROV_GT11_0165,Rápidos de Occidente Champerico - Ref 166,José Tzoc,+502 51263562,Retalhuleu,Champerico
PROV_GT11_0166,Shuttles Nuevo San Carlos - Ref 167,Tomasa Hernández,+502 42653270,Retalhuleu,Nuevo San Carlos
PROV_GT11_0167,Taxis del Centro El Asintal - Ref 168,Tomasa Yax,+502 51278874,Retalhuleu,El Asintal
PROV_GT12_0168,Transportes San Marcos - Ref 169,Carlos Jax,+502 50506441,San Marcos,San Marcos
PROV_GT12_0169,Autobuses San Pedro Sacatepéquez - Ref 170,Tomasa Cabrera,+502 53589166,San Marcos,San Pedro Sacatepéquez
PROV_GT12_0170,Lancheros Unidos San Antonio Sacatepéquez - Ref 171,Carlos López,+502 58487916,San Marcos,San Antonio Sacatepéquez
PROV_GT12_0171,Fleteros del Altiplano Comitancillo - Ref 172,Francisco Jax,+502 49566100,San Marcos,Comitancillo
PROV_GT12_0172,Cooperativa de Transportistas San Miguel Ixtahuacán - Ref 173,Pedro Hernández,+502 52416387,San Marcos,San Miguel Ixtahuacán
PROV_GT12_0173,Rápidos de Occidente Concepción Tutuapa - Ref 174,José Cox,+502 50109244,San Marcos,Concepción Tutuapa
PROV_GT12_0174,Shuttles Tacaná - Ref 175,Pedro Tzoc,+502 56217385,San Marcos,Tacaná
PROV_GT12_0175,Taxis del Centro Sibinal - Ref 176,Carlos Jax,+502 44908157,San Marcos,Sibinal
PROV_GT12_0176,Transportes Tajumulco - Ref 177,Manuel Tzul,+502 50579175,San Marcos,Tajumulco
PROV_GT12_0177,Autobuses Tejutla - Ref 178,Luisa Marroquín,+502 51827878,San Marcos,Tejutla
PROV_GT12_0178,Lancheros Unidos San Rafael Pie de la Cuesta - Ref 179,María Gómez,+502 55809097,San Marcos,San Rafael Pie de la Cuesta
PROV_GT12_0179,Fleteros del Altiplano Nuevo Progreso - Ref 180,Manuel Hernández,+502 56535079,San Marcos,Nuevo Progreso
PROV_GT12_0180,Cooperativa de Transportistas El Tumbador - Ref 181,Juana Cox,+502 54153714,San Marcos,El Tumbador
PROV_GT12_0181,Rápidos de Occidente El Rodeo - Ref 182,Manuel López,+502 54617536,San Marcos,El Rodeo
PROV_GT12_0182,Shuttles Malacatán - Ref 183,Manuel Méndez,+502 52682756,San Marcos,Malacatán
PROV_GT12_0183,Taxis del Centro Catarina - Ref 184,Francisco Cabrera,+502 56217477,San Marcos,Catarina
PROV_GT12_0184,Transportes Ayutla - Ref 185,Juan Yax,+502 49312625,San Marcos,Ayutla
PROV_GT12_0185,Autobuses Ocós - Ref 186,Esteban Hernández,+502 55407779,San Marcos,Ocós
PROV_GT12_0186,Lancheros Unidos San Pablo - Ref 187,Diego Tzoc,+502 49419671,San Marcos,San Pablo
PROV_GT12_0187,Fleteros del Altiplano El Quetzal - Ref 188,Rosa Marroquín,+502 50056855,San Marcos,El Quetzal
PROV_GT12_0188,Cooperativa de Transportistas La Reforma - Ref 189,Juan Méndez,+502 43843126,San Marcos,La Reforma
PROV_GT12_0189,Rápidos de Occidente Pajapita - Ref 190,Rosa Chaj,+502 57585146,San Marcos,Pajapita
PROV_GT12_0190,Shuttles Ixchiguán - Ref 191,Francisco Jax,+502 58715659,San Marcos,Ixchiguán
PROV_GT12_0191,Taxis del Centro San José Ojetenam - Ref 192,Elena Cox,+502 56162727,San Marcos,San José Ojetenam
PROV_GT12_0192,Transportes San Cristóbal Cucho - Ref 193,Juan Yax,+502 50315077,San Marcos,San Cristóbal Cucho
PROV_GT12_0193,Autobuses Sipacapa - Ref 194,Juan Cox,+502 56385264,San Marcos,Sipacapa
PROV_GT12_0194,Lancheros Unidos Esquipulas Palo Gordo - Ref 195,Juana Tzoc,+502 42097417,San Marcos,Esquipulas Palo Gordo
PROV_GT12_0195,Fleteros del Altiplano Río Blanco - Ref 196,Juana López,+502 46124504,San Marcos,Río Blanco
PROV_GT12_0196,Cooperativa de Transportistas San Lorenzo - Ref 197,Rosa Pérez,+502 53382024,San Marcos,San Lorenzo
PROV_GT12_0197,Rápidos de Occidente La Blanca - Ref 198,Juan Batz,+502 48718609,San Marcos,La Blanca
PROV_GT13_0198,Shuttles Huehuetenango - Ref 199,Elena López,+502 46511528,Huehuetenango,Huehuetenango
PROV_GT13_0199,Taxis del Centro Chiantla - Ref 200,Pedro López,+502 57448010,Huehuetenango,Chiantla
PROV_GT13_0200,Transportes Malacatancito - Ref 201,Diego López,+502 40572951,Huehuetenango,Malacatancito
PROV_GT13_0201,Autobuses Cuilco - Ref 202,José Hernández,+502 49672211,Huehuetenango,Cuilco
PROV_GT13_0202,Lancheros Unidos Nentón - Ref 203,Carlos Jax,+502 57653079,Huehuetenango,Nentón
PROV_GT13_0203,Fleteros del Altiplano San Pedro Necta - Ref 204,Miguel Méndez,+502 43525554,Huehuetenango,San Pedro Necta
PROV_GT13_0204,Cooperativa de Transportistas Jacaltenango - Ref 205,Juana Yax,+502 44595148,Huehuetenango,Jacaltenango
PROV_GT13_0205,Rápidos de Occidente Soloma - Ref 206,Manuel López,+502 42903709,Huehuetenango,Soloma
PROV_GT13_0206,Shuttles Ixtahuacán - Ref 207,Manuel Hernández,+502 45019397,Huehuetenango,Ixtahuacán
PROV_GT13_0207,Taxis del Centro Santa Bárbara - Ref 208,Carlos Jax,+502 46277410,Huehuetenango,Santa Bárbara
PROV_GT13_0208,Transportes La Libertad - Ref 209,Miguel Gómez,+502 41949187,Huehuetenango,La Libertad
PROV_GT13_0209,Autobuses La Democracia - Ref 210,Esteban Hernández,+502 40809589,Huehuetenango,La Democracia
PROV_GT13_0210,Lancheros Unidos San Miguel Acatán - Ref 211,Pedro Batz,+502 52162750,Huehuetenango,San Miguel Acatán
PROV_GT13_0211,Fleteros del Altiplano San Rafael La Independencia - Ref 212,Miguel Cabrera,+502 51202110,Huehuetenango,San Rafael La Independencia
PROV_GT13_0212,Cooperativa de Transportistas Todos Santos Cuchumatán - Ref 213,José Cox,+502 48991145,Huehuetenango,Todos Santos Cuchumatán
PROV_GT13_0213,Rápidos de Occidente San Juan Atitán - Ref 214,Manuel Hernández,+502 49351269,Huehuetenango,San Juan Atitán
PROV_GT13_0214,Shuttles Santa Eulalia - Ref 215,Rosa Cabrera,+502 56167828,Huehuetenango,Santa Eulalia
