id_artista,codigo,nombre_completo,genero,fecha_nacimiento,departamento_pcode,municipio_pcode,taller_id,especialidad_principal,reconocimientos
22,ART_GT0708_0021,Miguel Chavez Guarcax,Masculino,1961-01-12,GT07,GT0708,441,Maestro Tallador de Jade,
23,ART_GT0709_0022,Maria Ajcalón Cux,Femenino,2001-03-08,GT07,GT0709,262,Tejedora de Telar de Cintura,
24,ART_GT0710_0023,Mateo Quiché Xiquín,Masculino,1974-08-22,GT07,GT0710,284,Cestero de Fibras Naturales,
25,ART_GT0711_0024,Petrona Yac Tuy,Femenino,1999-03-04,GT07,GT0711,267,Tejedora de Telar de Cintura,Premio local de Arte Popular 2025 en Santa Catarina Palopó.
26,ART_GT0712_0025,Lucas Guarcax Tax,Masculino,1965-11-20,GT07,GT0712,,Pintor Paisajista Contemporáneo,
27,ART_GT0713_0026,Tomasa Cux Coché,Femenino,1993-02-19,GT07,GT0713,808,Constructor de Marimbas,
28,ART_GT0714_0027,Jacinto Xiquín Ixcol,Masculino,1960-01-04,GT07,GT0714,968,Escultor en Madera,
29,ART_GT0715_0028,Magdalena Tuy Tzoc,Femenino,1970-09-21,GT07,GT0715,390,Danzante de Danza Folklórica,Premio local de Arte Popular 2025 en San Pablo La Laguna.
30,ART_GT0716_0029,Pedro Tax Chox,Masculino,1982-08-22,GT07,GT0716,98,Pintor Primitivista,
31,ART_GT0717_0030,Manuela Coché Tupul,Femenino,1993-06-12,GT07,GT0717,,Danzante de Danza Folklórica,
32,ART_GT0718_0031,Pedro Ixcol Mendoza,Masculino,1956-12-25,GT07,GT0718,1009,Intérprete de Marimba,
33,ART_GT0719_0032,Manuela Tzoc Chavez,Femenino,1961-04-25,GT07,GT0719,365,Intérprete de Marimba,Premio local de Arte Popular 2019 en Santiago Atitlán.
34,ART_GT0801_0033,Gaspar Chox Ajcalón,Masculino,1993-03-21,GT08,GT0801,1005,Constructor de Marimbas,
35,ART_GT0802_0034,Tomasa Tupul Quiché,Femenino,1987-04-05,GT08,GT0802,875,Intérprete de Marimba,
36,ART_GT0803_0035,Francisco Mendoza Yac,Masculino,1963-04-21,GT08,GT0803,,Intérprete de Marimba,
37,ART_GT0804_0036,Manuela Chavez Guarcax,Femenino,1971-07-09,GT08,GT0804,584,Intérprete de Marimba,Premio local de Arte Popular 2018 en San Andrés Xecul.
38,ART_GT0805_0037,Francisco Ajcalón Cux,Masculino,1975-07-18,GT08,GT0805,736,Tejedora de Telar de Cintura,
39,ART_GT0806_0038,Elena Quiché Xiquín,Femenino,1963-01-15,GT08,GT0806,41,Pintor Paisajista Contemporáneo,
40,ART_GT0807_0039,Tomas Yac Tuy,Masculino,1993-11-04,GT08,GT0807,754,Tejedora de Telar de Cintura,
41,ART_GT0808_0040,Petrona Guarcax Tax,Femenino,1982-08-04,GT08,GT0808,,Talabartero de Cuero,Premio local de Arte Popular 2024 en San Bartolo.
42,ART_GT0901_0041,Jacinto Cux Coché,Masculino,1977-04-23,GT09,GT0901,698,Pintor Primitivista,
43,ART_GT0902_0042,Tomasa Xiquín Ixcol,Femenino,1967-09-04,GT09,GT0902,617,Alfarero Tradicional,
44,ART_GT0903_0043,Jacinto Tuy Tzoc,Masculino,1975-08-18,GT09,GT0903,805,Constructor de Marimbas,
45,ART_GT0904_0044,Antonia Tax Chox,Femenino,1987-07-04,GT09,GT0904,834,Intérprete de Marimba,Premio local de Arte Popular 2011 en San Carlos Sija.
46,ART_GT0905_0045,Tomas Coché Tupul,Masculino,1971-01-24,GT09,GT0905,,Constructor de Marimbas,
47,ART_GT0906_0046,Manuela Ixcol Mendoza,Femenino,1976-12-07,GT09,GT0906,341,Danzante de Danza Folklórica,
48,ART_GT0907_0047,Lucas Tzoc Chavez,Masculino,1987-06-23,GT09,GT0907,117,Maestro Tallador de Jade,
49,ART_GT0908_0048,Catarina Chox Ajcalón,Femenino,1967-08-22,GT09,GT0908,852,Escultor en Madera,Premio local de Arte Popular 2013 en San Miguel Sigüila.
50,ART_GT0909_0049,Tomas Tupul Quiché,Masculino,1981-09-26,GT09,GT0909,833,Talabartero de Cuero,
51,ART_GT0910_0050,Elena Mendoza Yac,Femenino,1997-01-10,GT09,GT0910,,Alfarero Tradicional,
52,ART_GT0911_0051,Gaspar Chavez Guarcax,Masculino,1967-03-20,GT09,GT0911,440,Escultor en Madera,
53,ART_GT0912_0052,Juana Ajcalón Cux,Femenino,1958-06-18,GT09,GT0912,966,Alfarero Tradicional,Premio local de Arte Popular 2018 en San Martín Sacatepéquez.
54,ART_GT0913_0053,Juan Quiché Xiquín,Masculino,1985-08-18,GT09,GT0913,358,Pintor Primitivista,
55,ART_GT0914_0054,Manuela Yac Tuy,Femenino,1952-03-05,GT09,GT0914,949,Maestro Tallador de Jade,
56,ART_GT0915_0055,Pedro Guarcax Tax,Masculino,1999-05-03,GT09,GT0915,,Tejedor de Telar de Pie,
57,ART_GT0916_0056,Magdalena Cux Coché,Femenino,1997-10-06,GT09,GT0916,628,Talabartero de Cuero,Premio local de Arte Popular 2023 en Zunil.
58,ART_GT0917_0057,Miguel Xiquín Ixcol,Masculino,2002-04-05,GT09,GT0917,956,Intérprete de Marimba,
59,ART_GT0918_0058,Tomasa Tuy Tzoc,Femenino,1987-01-25,GT09,GT0918,265,Tejedora de Telar de Cintura,
60,ART_GT0919_0059,Francisco Tax Chox,Masculino,1980-02-04,GT09,GT0919,929,Danzante de Danza Folklórica,
61,ART_GT0920_0060,Maria Coché Tupul,Femenino,1988-02-16,GT09,GT0920,,Alfarero Tradicional,Premio local de Arte Popular 2011 en Coatepeque.
62,ART_GT0921_0061,Lucas Ixcol Mendoza,Masculino,1982-06-15,GT09,GT0921,379,Intérprete de Marimba,
63,ART_GT0922_0062,Tomasa Tzoc Chavez,Femenino,1959-06-09,GT09,GT0922,391,Cestero de Fibras Naturales,
64,ART_GT0923_0063,Lucas Chox Ajcalón,Masculino,1956-10-12,GT09,GT0923,473,Danzante de Danza Folklórica,
65,ART_GT0924_0064,Elena Tupul Quiché,Femenino,1969-01-03,GT09,GT0924,89,Pintor Paisajista Contemporáneo,Premio local de Arte Popular 2017 en Palestina de Los Altos.
66,ART_GT1201_0065,Gaspar Mendoza Yac,Masculino,1987-12-02,GT12,GT1201,,Tejedor de Telar de Pie,
67,ART_GT1202_0066,Elena Chavez Guarcax,Femenino,2005-01-13,GT12,GT1202,33,Escultor en Madera,
68,ART_GT1203_0067,Lucas Ajcalón Cux,Masculino,1990-09-14,GT12,GT1203,314,Cestero de Fibras Naturales,
69,ART_GT1204_0068,Juana Quiché Xiquín,Femenino,1964-03-03,GT12,GT1204,913,Talabartero de Cuero,Premio local de Arte Popular 2018 en Comitancillo.
70,ART_GT1205_0069,Jacinto Yac Tuy,Masculino,1953-04-26,GT12,GT1205,245,Talabartero de Cuero,
71,ART_GT1206_0070,Juana Guarcax Tax,Femenino,2002-03-08,GT12,GT1206,,Intérprete de Marimba,
72,ART_GT1207_0071,Miguel Cux Coché,Masculino,1950-08-03,GT12,GT1207,606,Escultor en Madera,
73,ART_GT1208_0072,Juana Xiquín Ixcol,Femenino,1991-10-10,GT12,GT1208,475,Pintor Primitivista,Premio local de Arte Popular 2011 en Sibinal.
74,ART_GT1209_0073,Francisco Tuy Tzoc,Masculino,1964-10-15,GT12,GT1209,474,Maestro Tallador de Jade,
75,ART_GT1210_0074,Manuela Tax Chox,Femenino,1962-11-24,GT12,GT1210,238,Alfarero Tradicional,
76,ART_GT1211_0075,Santiago Coché Tupul,Masculino,1977-10-22,GT12,GT1211,,Maestro Tallador de Jade,
77,ART_GT1212_0076,Antonia Ixcol Mendoza,Femenino,1963-01-26,GT12,GT1212,904,Tejedor de Telar de Pie,Premio local de Arte Popular 2013 en Nuevo Progreso.
78,ART_GT1213_0077,Miguel Tzoc Chavez,Masculino,1983-08-05,GT12,GT1213,830,Tejedor de Telar de Pie,
79,ART_GT1214_0078,Manuela Chox Ajcalón,Femenino,1959-05-01,GT12,GT1214,905,Tejedora de Telar de Cintura,
80,ART_GT1215_0079,Pedro Tupul Quiché,Masculino,1987-10-27,GT12,GT1215,471,Cestero de Fibras Naturales,
81,ART_GT1216_0080,Magdalena Mendoza Yac,Femenino,1950-06-06,GT12,GT1216,,Escultor en Madera,Premio local de Arte Popular 2021 en Catarina.
82,ART_GT1217_0081,Pedro Chavez Guarcax,Masculino,2003-09-06,GT12,GT1217,40,Danzante de Danza Folklórica,
83,ART_GT1218_0082,Manuela Ajcalón Cux,Femenino,1967-06-13,GT12,GT1218,609,Constructor de Marimbas,
84,ART_GT1219_0083,Santiago Quiché Xiquín,Masculino,1965-01-28,GT12,GT1219,918,Cestero de Fibras Naturales,
85,ART_GT1220_0084,Isabel Yac Tuy,Femenino,1967-12-27,GT12,GT1220,865,Talabartero de Cuero,Premio local de Arte Popular 2021 en El Quetzal.
86,ART_GT1221_0085,Miguel Guarcax Tax,Masculino,1976-12-01,GT12,GT1221,,Cestero de Fibras Naturales,
87,ART_GT1222_0086,Manuela Cux Coché,Femenino,1994-12-10,GT12,GT1222,531,Danzante de Danza Folklórica,
88,ART_GT1223_0087,Francisco Xiquín Ixcol,Masculino,1990-08-19,GT12,GT1223,559,Intérprete de Marimba,
89,ART_GT1224_0088,Antonia Tuy Tzoc,Femenino,1988-04-09,GT12,GT1224,594,Alfarero Tradicional,Premio local de Arte Popular 2024 en San José Ojetenam.
90,ART_GT1225_0089,Gaspar Tax Chox,Masculino,1962-03-09,GT12,GT1225,20,Danzante de Danza Folklórica,
91,ART_GT1226_0090,Magdalena Coché Tupul,Femenino,1988-01-13,GT12,GT1226,,Tejedora de Telar de Cintura,
92,ART_GT1227_0091,Lucas Ixcol Mendoza,Masculino,1995-03-24,GT12,GT1227,321,Intérprete de Marimba,
93,ART_GT1228_0092,Catarina Tzoc Chavez,Femenino,1961-03-19,GT12,GT1228,604,Tejedor de Telar de Pie,Premio local de Arte Popular 2013 en Río Blanco.
94,ART_GT1229_0093,Santiago Chox Ajcalón,Masculino,1957-01-03,GT12,GT1229,767,Danzante de Danza Folklórica,
95,ART_GT1230_0094,Antonia Tupul Quiché,Femenino,1954-03-04,GT12,GT1230,393,Tejedora de Telar de Cintura,
96,ART_GT1301_0095,Gaspar Mendoza Yac,Masculino,1974-11-05,GT13,GT1301,,Talabartero de Cuero,
97,ART_GT1302_0096,Isabel Chavez Guarcax,Femenino,1959-02-10,GT13,GT1302,413,Constructor de Marimbas,Premio local de Arte Popular 2014 en Chiantla.
98,ART_GT1303_0097,Gaspar Ajcalón Cux,Masculino,1953-06-15,GT13,GT1303,390,Cestero de Fibras Naturales,
99,ART_GT1304_0098,Catarina Quiché Xiquín,Femenino,1961-07-22,GT13,GT1304,782,Cestero de Fibras Naturales,
100,ART_GT1305_0099,Gaspar Yac Tuy,Masculino,1986-04-13,GT13,GT1305,230,Tejedor de Telar de Pie,
101,ART_GT1306_0100,Petrona Guarcax Tax,Femenino,1955-03-21,GT13,GT1306,,Escultor en Madera,Premio local de Arte Popular 2015 en San Pedro Necta.
102,ART_GT1307_0101,Pedro Cux Coché,Masculino,1975-06-06,GT13,GT1307,899,Constructor de Marimbas,
103,ART_GT1308_0102,Petrona Xiquín Ixcol,Femenino,1995-11-13,GT13,GT1308,287,Maestro Tallador de Jade,
104,ART_GT1309_0103,Juan Tuy Tzoc,Masculino,1994-10-24,GT13,GT1309,103,Constructor de Marimbas,
105,ART_GT1310_0104,Catarina Tax Chox,Femenino,1990-02-03,GT13,GT1310,391,Talabartero de Cuero,Premio local de Arte Popular 2014 en Santa Bárbara.
106,ART_GT1311_0105,Tomas Coché Tupul,Masculino,2003-09-09,GT13,GT1311,,Tejedor de Telar de Pie,
107,ART_GT1312_0106,Magdalena Ixcol Mendoza,Femenino,1990-02-26,GT13,GT1312,162,Escultor en Madera,
108,ART_GT1313_0107,Mateo Tzoc Chavez,Masculino,1979-03-09,GT13,GT1313,693,Escultor en Madera,
109,ART_GT1314_0108,Isabel Chox Ajcalón,Femenino,1961-11-14,GT13,GT1314,14,Tejedor de Telar de Pie,Premio local de Arte Popular 2024 en San Rafael La Independencia.
110,ART_GT1315_0109,Pedro Tupul Quiché,Masculino,2002-08-24,GT13,GT1315,425,Pintor Paisajista Contemporáneo,
111,ART_GT1316_0110,Juana Mendoza Yac,Femenino,1992-03-20,GT13,GT1316,,Maestro Tallador de Jade,
112,ART_GT1317_0111,Gaspar Chavez Guarcax,Masculino,1970-11-08,GT13,GT1317,199,Maestro Tallador de Jade,
113,ART_GT1318_0112,Catarina Ajcalón Cux,Femenino,1992-07-05,GT13,GT1318,254,Pintor Paisajista Contemporáneo,Premio local de Arte Popular 2019 en San Mateo Ixtatán.
114,ART_GT1319_0113,Jacinto Quiché Xiquín,Masculino,1964-03-20,GT13,GT1319,485,Alfarero Tradicional,
115,ART_GT1320_0114,Tomasa Yac Tuy,Femenino,1962-10-18,GT13,GT1320,505,Cestero de Fibras Naturales,
116,ART_GT1321_0115,Tomas Guarcax Tax,Masculino,2005-01-21,GT13,GT1321,,Intérprete de Marimba,
117,ART_GT1322_0116,Elena Cux Coché,Femenino,1959-04-15,GT13,GT1322,402,Constructor de Marimbas,Premio local de Arte Popular 2023 en Concepción Huista.
118,ART_GT1323_0117,Juan Xiquín Ixcol,Masculino,2003-03-28,GT13,GT1323,953,Talabartero de Cuero,
119,ART_GT1324_0118,Magdalena Tuy Tzoc,Femenino,1982-11-06,GT13,GT1324,893,Pintor Paisajista Contemporáneo,
120,ART_GT1325_0119,Francisco Tax Chox,Masculino,1997-01-26,GT13,GT1325,826,Intérprete de Marimba,
121,ART_GT1326_0120,Maria Coché Tupul,Femenino,1984-04-18,GT13,GT1326,,Intérprete de Marimba,Premio local de Arte Popular 2025 en Barillas.
122,ART_GT1327_0121,Gaspar Ixcol Mendoza,Masculino,1985-03-23,GT13,GT1327,916,Maestro Tallador de Jade,
123,ART_GT1328_0122,Catarina Tzoc Chavez,Femenino,1970-06-11,GT13,GT1328,219,Cestero de Fibras Naturales,
124,ART_GT1329_0123,Lucas Chox Ajcalón,Masculino,1997-03-21,GT13,GT1329,894,Constructor de Marimbas,
125,ART_GT1330_0124,Tomasa Tupul Quiché,Femenino,1974-12-10,GT13,GT1330,155,Pintor Primitivista,Premio local de Arte Popular 2015 en Santiago Chimaltenango.
126,ART_GT1331_0125,Santiago Mendoza Yac,Masculino,1958-08-05,GT13,GT1331,,Tejedora de Telar de Cintura,
127,ART_GT1332_0126,Petrona Chavez Guarcax,Femenino,1993-06-24,GT13,GT1332,252,Tejedora de Telar de Cintura,
128,ART_GT1333_0127,Lucas Ajcalón Cux,Masculino,1955-11-11,GT13,GT1333,224,Escultor en Madera,
129,ART_GT1401_0128,Juana Quiché Xiquín,Femenino,1968-11-26,GT14,GT1401,977,Danzante de Danza Folklórica,Premio local de Arte Popular 2014 en Santa Cruz del Quiché.
130,ART_GT1402_0129,Pedro Yac Tuy,Masculino,1950-02-20,GT14,GT1402,54,Pintor Primitivista,
131,ART_GT1403_0130,Tomasa Guarcax Tax,Femenino,1991-05-14,GT14,GT1403,,Intérprete de Marimba,
132,ART_GT1404_0131,Jacinto Cux Coché,Masculino,1982-05-24,GT14,GT1404,728,Cestero de Fibras Naturales,
133,ART_GT1405_0132,Petrona Xiquín Ixcol,Femenino,2004-09-12,GT14,GT1405,800,Intérprete de Marimba,Premio local de Arte Popular 2011 en Chajul.
134,ART_GT1406_0133,Tomas Tuy Tzoc,Masculino,1972-05-05,GT14,GT1406,101,Pintor Primitivista,
135,ART_GT1407_0134,Juana Tax Chox,Femenino,1995-01-20,GT14,GT1407,710,Pintor Paisajista Contemporáneo,
136,ART_GT1408_0135,Miguel Coché Tupul,Masculino,1969-04-25,GT14,GT1408,,Danzante de Danza Folklórica,
137,ART_GT1409_0136,Isabel Ixcol Mendoza,Femenino,2005-08-06,GT14,GT1409,290,Danzante de Danza Folklórica,Premio local de Arte Popular 2014 en San Pedro Jocopilas.
138,ART_GT1410_0137,Mateo Tzoc Chavez,Masculino,1956-10-05,GT14,GT1410,47,Constructor de Marimbas,
139,ART_GT1411_0138,Manuela Chox Ajcalón,Femenino,1975-01-17,GT14,GT1411,915,Escultor en Madera,
140,ART_GT1412_0139,Tomas Tupul Quiché,Masculino,1985-10-22,GT14,GT1412,333,Maestro Tallador de Jade,
141,ART_GT1413_0140,Juana Mendoza Yac,Femenino,1991-11-06,GT14,GT1413,,Tejedor de Telar de Pie,Premio local de Arte Popular 2010 en Nebaj.
142,ART_GT1414_0141,Lucas Chavez Guarcax,Masculino,1965-11-22,GT14,GT1414,988,Escultor en Madera,
143,ART_GT1415_0142,Isabel Ajcalón Cux,Femenino,1956-09-02,GT14,GT1415,668,Danzante de Danza Folklórica,
144,ART_GT1416_0143,Tomas Quiché Xiquín,Masculino,2005-04-04,GT14,GT1416,341,Maestro Tallador de Jade,
145,ART_GT1417_0144,Maria Yac Tuy,Femenino,1980-08-17,GT14,GT1417,562,Tejedora de Telar de Cintura,Premio local de Arte Popular 2020 en San Bartolomé Jocotenango.
146,ART_GT1418_0145,Miguel Guarcax Tax,Masculino,1965-02-24,GT14,GT1418,,Danzante de Danza Folklórica,
147,ART_GT1419_0146,Manuela Cux Coché,Femenino,1986-09-15,GT14,GT1419,739,Cestero de Fibras Naturales,
148,ART_GT1420_0147,Pedro Xiquín Ixcol,Masculino,1988-05-15,GT14,GT1420,687,Tejedora de Telar de Cintura,
149,ART_GT1421_0148,Antonia Tuy Tzoc,Femenino,1950-01-25,GT14,GT1421,686,Cestero de Fibras Naturales,Premio local de Arte Popular 2018 en Pachalum.
150,ART_GT1501_0149,Santiago Tax Chox,Masculino,1993-02-22,GT15,GT1501,475,Tejedora de Telar de Cintura,
151,ART_GT1502_0150,Tomasa Coché Tupul,Femenino,1989-04-09,GT15,GT1502,,Intérprete de Marimba,
152,ART_GT1503_0151,Tomas Ixcol Mendoza,Masculino,2003-04-27,GT15,GT1503,792,Danzante de Danza Folklórica,
153,ART_GT1504_0152,Manuela Tzoc Chavez,Femenino,1962-01-28,GT15,GT1504,987,Pintor Primitivista,Premio local de Arte Popular 2025 en Cubulco.
154,ART_GT1505_0153,Tomas Chox Ajcalón,Masculino,1998-02-17,GT15,GT1505,354,Danzante de Danza Folklórica,
155,ART_GT1506_0154,Magdalena Tupul Quiché,Femenino,1984-09-14,GT15,GT1506,244,Danzante de Danza Folklórica,
156,ART_GT1507_0155,Lucas Mendoza Yac,Masculino,1962-03-01,GT15,GT1507,,Maestro Tallador de Jade,
157,ART_GT1508_0156,Antonia Chavez Guarcax,Femenino,2005-12-14,GT15,GT1508,542,Constructor de Marimbas,Premio local de Arte Popular 2013 en Purulhá.
158,ART_GT0401_0157,Lucas Ajcalón Cux,Masculino,1972-11-18,GT04,GT0401,103,Intérprete de Marimba,
159,ART_GT0402_0158,Antonia Quiché Xiquín,Femenino,1968-12-17,GT04,GT0402,575,Maestro Tallador de Jade,
160,ART_GT0403_0159,Lucas Yac Tuy,Masculino,1982-08-17,GT04,GT0403,212,Tejedor de Telar de Pie,
161,ART_GT0404_0160,Magdalena Guarcax Tax,Femenino,1977-12-02,GT04,GT0404,,Alfarero Tradicional,Premio local de Arte Popular 2019 en Comalapa.
162,ART_GT0405_0161,Juan Cux Coché,Masculino,1955-11-09,GT04,GT0405,394,Talabartero de Cuero,
163,ART_GT0406_0162,Elena Xiquín Ixcol,Femenino,2003-12-24,GT04,GT0406,537,Talabartero de Cuero,
164,ART_GT0407_0163,Mateo Tuy Tzoc,Masculino,1977-12-16,GT04,GT0407,345,Pintor Paisajista Contemporáneo,
165,ART_GT0408_0164,Magdalena Tax Chox,Femenino,1980-02-05,GT04,GT0408,287,Pintor Primitivista,Premio local de Arte Popular 2013 en Pochuta.
166,ART_GT0409_0165,Juan Coché Tupul,Masculino,1991-11-03,GT04,GT0409,,Tejedor de Telar de Pie,
167,ART_GT0410_0166,Manuela Ixcol Mendoza,Femenino,1979-02-06,GT04,GT0410,553,Intérprete de Marimba,
168,ART_GT0411_0167,Juan Tzoc Chavez,Masculino,1961-04-08,GT04,GT0411,343,Pintor Primitivista,
169,ART_GT0412_0168,Manuela Chox Ajcalón,Femenino,1967-09-22,GT04,GT0412,999,Maestro Tallador de Jade,Premio local de Arte Popular 2023 en Yepocapa.
170,ART_GT0413_0169,Pedro Tupul Quiché,Masculino,1966-11-27,GT04,GT0413,202,Tejedor de Telar de Pie,
171,ART_GT0414_0170,Elena Mendoza Yac,Femenino,1963-01-20,GT04,GT0414,,Tejedora de Telar de Cintura,
172,ART_GT0415_0171,Francisco Chavez Guarcax,Masculino,2001-04-15,GT04,GT0415,871,Cestero de Fibras Naturales,
173,ART_GT0416_0172,Maria Ajcalón Cux,Femenino,1976-06-11,GT04,GT0416,940,Constructor de Marimbas,Premio local de Arte Popular 2023 en El Tejar.
174,ART_GT0700_0173,Pedro Quiché Xiquín,Masculino,1951-01-22,GT07,GT0700,791,Danzante de Danza Folklórica,
175,ART_GT0701_0174,Maria Yac Tuy,Femenino,1991-12-23,GT07,GT0701,616,Pintor Primitivista,
176,ART_GT0702_0175,Pedro Guarcax Tax,Masculino,1955-03-01,GT07,GT0702,,Tejedora de Telar de Cintura,
177,ART_GT0703_0176,Manuela Cux Coché,Femenino,1951-10-16,GT07,GT0703,628,Intérprete de Marimba,Premio local de Arte Popular 2017 en Santa María Visitación.
178,ART_GT0704_0177,Jacinto Xiquín Ixcol,Masculino,1982-12-01,GT07,GT0704,329,Intérprete de Marimba,
179,ART_GT0705_0178,Juana Tuy Tzoc,Femenino,1967-04-17,GT07,GT0705,748,Cestero de Fibras Naturales,
180,ART_GT0706_0179,Gaspar Tax Chox,Masculino,1995-09-07,GT07,GT0706,701,Pintor Paisajista Contemporáneo,
181,ART_GT0707_0180,Isabel Coché Tupul,Femenino,1984-05-11,GT07,GT0707,,Tejedor de Telar de Pie,Premio local de Arte Popular 2013 en Santa Clara La Laguna.
182,ART_GT0708_0181,Santiago Ixcol Mendoza,Masculino,1979-11-23,GT07,GT0708,112,Constructor de Marimbas,
183,ART_GT0709_0182,Maria Tzoc Chavez,Femenino,1986-05-03,GT07,GT0709,837,Tejedora de Telar de Cintura,
184,ART_GT0710_0183,Jacinto Chox Ajcalón,Masculino,2005-11-15,GT07,GT0710,974,Tejedor de Telar de Pie,
185,ART_GT0711_0184,Maria Tupul Quiché,Femenino,1958-01-01,GT07,GT0711,758,Constructor de Marimbas,Premio local de Arte Popular 2025 en Santa Catarina Palopó.
186,ART_GT0712_0185,Pedro Mendoza Yac,Masculino,1988-09-18,GT07,GT0712,,Talabartero de Cuero,
187,ART_GT0713_0186,Maria Chavez Guarcax,Femenino,1984-05-14,GT07,GT0713,564,Talabartero de Cuero,
188,ART_GT0714_0187,Lucas Ajcalón Cux,Masculino,1972-10-17,GT07,GT0714,635,Intérprete de Marimba,
189,ART_GT0715_0188,Tomasa Quiché Xiquín,Femenino,1996-11-03,GT07,GT0715,875,Pintor Paisajista Contemporáneo,Premio local de Arte Popular 2017 en San Pablo La Laguna.
190,ART_GT0716_0189,Santiago Yac Tuy,Masculino,1961-04-26,GT07,GT0716,263,Pintor Paisajista Contemporáneo,
191,ART_GT0717_0190,Elena Guarcax Tax,Femenino,1993-10-24,GT07,GT0717,,Maestro Tallador de Jade,
192,ART_GT0718_0191,Gaspar Cux Coché,Masculino,1993-09-07,GT07,GT0718,926,Intérprete de Marimba,
193,ART_GT0719_0192,Juana Xiquín Ixcol,Femenino,1956-10-02,GT07,GT0719,471,Cestero de Fibras Naturales,Premio local de Arte Popular 2015 en Santiago Atitlán.
194,ART_GT0801_0193,Francisco Tuy Tzoc,Masculino,1983-03-15,GT08,GT0801,47,Alfarero Tradicional,
195,ART_GT0802_0194,Elena Tax Chox,Femenino,1950-09-03,GT08,GT0802,518,Cestero de Fibras Naturales,
196,ART_GT0803_0195,Miguel Coché Tupul,Masculino,1993-11-02,GT08,GT0803,,Escultor en Madera,
197,ART_GT0804_0196,Isabel Ixcol Mendoza,Femenino,1979-10-16,GT08,GT0804,274,Pintor Paisajista Contemporáneo,Premio local de Arte Popular 2020 en San Andrés Xecul.
198,ART_GT0805_0197,Miguel Tzoc Chavez,Masculino,1990-05-25,GT08,GT0805,351,Escultor en Madera,
199,ART_GT0806_0198,Catarina Chox Ajcalón,Femenino,1995-02-18,GT08,GT0806,140,Tejedor de Telar de Pie,
200,ART_GT0807_0199,Miguel Tupul Quiché,Masculino,1993-02-03,GT08,GT0807,716,Tejedora de Telar de Cintura,
201,ART_GT0808_0200,Manuela Mendoza Yac,Femenino,1963-04-27,GT08,GT0808,,Pintor Paisajista Contemporáneo,Premio local de Arte Popular 2012 en San Bartolo.
